Timestamp,PIM
01/06/2024 08:00:00,125
01/06/2024 08:00:15,130
01/06/2024 08:00:30,142
01/06/2024 08:00:45,118
01/06/2024 08:01:00,155
01/06/2024 08:01:15,167
01/06/2024 08:01:30,189
01/06/2024 08:01:45,145
01/06/2024 08:02:00,132
01/06/2024 08:02:15,128
01/06/2024 08:02:30,115
01/06/2024 08:02:45,108
01/06/2024 08:03:00,95
01/06/2024 08:03:15,88
01/06/2024 08:03:30,72
01/06/2024 08:03:45,65
01/06/2024 08:04:00,58
01/06/2024 08:04:15,45
01/06/2024 08:04:30,38
01/06/2024 08:04:45,42
01/06/2024 08:05:00,55
01/06/2024 08:05:15,68
01/06/2024 08:05:30,82
01/06/2024 08:05:45,95
01/06/2024 08:06:00,110
01/06/2024 08:06:15,125
01/06/2024 08:06:30,138
01/06/2024 08:06:45,152
01/06/2024 08:07:00,168
01/06/2024 08:07:15,175
01/06/2024 08:07:30,182
01/06/2024 08:07:45,195
01/06/2024 08:08:00,205
01/06/2024 08:08:15,215
01/06/2024 08:08:30,225
01/06/2024 08:08:45,235
01/06/2024 08:09:00,245
01/06/2024 08:09:15,255
01/06/2024 08:09:30,265
01/06/2024 08:09:45,275
01/06/2024 08:10:00,285
01/06/2024 08:10:15,295
01/06/2024 08:10:30,305
01/06/2024 08:10:45,315
01/06/2024 08:11:00,325
01/06/2024 08:11:15,335
01/06/2024 08:11:30,345
01/06/2024 08:11:45,355
01/06/2024 08:12:00,365
01/06/2024 08:12:15,375
01/06/2024 08:12:30,385
01/06/2024 08:12:45,395
01/06/2024 08:13:00,405
01/06/2024 08:13:15,415
01/06/2024 08:13:30,425
01/06/2024 08:13:45,435
01/06/2024 08:14:00,445
01/06/2024 08:14:15,455
01/06/2024 08:14:30,465
01/06/2024 08:14:45,475
01/06/2024 08:15:00,485
01/06/2024 08:15:15,495
01/06/2024 08:15:30,505
01/06/2024 08:15:45,515
01/06/2024 08:16:00,525
01/06/2024 08:16:15,535
01/06/2024 08:16:30,545
01/06/2024 08:16:45,555
01/06/2024 08:17:00,565
01/06/2024 08:17:15,575
01/06/2024 08:17:30,585
01/06/2024 08:17:45,595
01/06/2024 08:18:00,605
01/06/2024 08:18:15,615
01/06/2024 08:18:30,625
01/06/2024 08:18:45,635
01/06/2024 08:19:00,645
01/06/2024 08:19:15,655
01/06/2024 08:19:30,665
01/06/2024 08:19:45,675
01/06/2024 08:20:00,0
01/06/2024 08:20:15,0
01/06/2024 08:20:30,0
01/06/2024 08:20:45,0
01/06/2024 08:21:00,0
01/06/2024 08:21:15,0
01/06/2024 08:21:30,0
01/06/2024 08:21:45,0
01/06/2024 08:22:00,0
01/06/2024 08:22:15,0
01/06/2024 08:22:30,0
01/06/2024 08:22:45,0
01/06/2024 08:23:00,0
01/06/2024 08:23:15,0
01/06/2024 08:23:30,0
01/06/2024 08:23:45,0
01/06/2024 08:24:00,0
01/06/2024 08:24:15,0
01/06/2024 08:24:30,0
01/06/2024 08:24:45,0
01/06/2024 08:25:00,0
01/06/2024 08:25:15,0
01/06/2024 08:25:30,0
01/06/2024 08:25:45,0
01/06/2024 08:26:00,0
01/06/2024 08:26:15,0
01/06/2024 08:26:30,0
01/06/2024 08:26:45,0
01/06/2024 08:27:00,0
01/06/2024 08:27:15,0
01/06/2024 08:27:30,0
01/06/2024 08:27:45,0
01/06/2024 08:28:00,125
01/06/2024 08:28:15,135
01/06/2024 08:28:30,145
01/06/2024 08:28:45,155
01/06/2024 08:29:00,165
01/06/2024 08:29:15,175
01/06/2024 08:29:30,185
01/06/2024 08:29:45,195
